id,animal,entropia,metodo
24,31-2,8.39,Cooke
20,31-2,8.41,Cooke
41,31-2,8.88,Cooke
16,31-2,8.95,Cooke
5,31-2,9.37,Cooke
34,31-2,9.39,Cooke
27,31-2,9.4,Cooke
17,31-2,9.47,Cooke
29,31-2,9.69,Cooke
48,31-2,9.94,Cooke
23,31-2,10.14,Cooke
14,31-2,10.37,Cooke
12,31-2,10.92,Cooke
26,31-2,10.95,Cooke
13,31-2,11.22,Cooke
8,31-2,11.56,Cooke
49,31-2,11.68,Cooke
44,31-2,11.69,Cooke
37,31-2,11.73,Cooke
47,31-2,11.83,Cooke
36,31-2,11.89,Cooke
15,31-2,11.97,Cooke
2,31-2,12.04,Cooke
10,31-2,12.04,Cooke
45,31-2,12.06,Cooke
18,31-2,12.13,Cooke
32,31-2,12.23,Cooke
19,31-2,12.26,Cooke
28,31-2,12.66,Cooke
25,31-2,12.72,Cooke
42,31-2,12.88,Cooke
11,31-2,12.98,Cooke
43,31-2,13.17,Cooke
40,31-2,13.27,Cooke
33,31-2,13.42,Cooke
22,31-2,13.45,Cooke
7,31-2,13.66,Cooke
31,31-2,13.76,Cooke
39,31-2,13.76,Cooke
50,31-2,13.79,Cooke
38,31-2,13.82,Cooke
6,31-2,13.97,Cooke
21,31-2,14.12,Cooke
4,31-2,14.25,Cooke
3,31-2,14.26,Cooke
1,31-2,14.27,Cooke
9,31-2,14.53,Cooke
24,31-2,8.977147608,Santiago
20,31-2,9.126756402,Santiago
41,31-2,9.491698593,Santiago
16,31-2,9.49917832,Santiago
5,31-2,9.612883716,Santiago
34,31-2,9.673890541,Santiago
27,31-2,9.914913924,Santiago
17,31-2,10.33752234,Santiago
29,31-2,10.63807722,Santiago
48,31-2,10.82908273,Santiago
23,31-2,10.83520538,Santiago
14,31-2,10.95096532,Santiago
12,31-2,11.3315028,Santiago
26,31-2,11.34778746,Santiago
13,31-2,11.42421805,Santiago
8,31-2,11.48696335,Santiago
49,31-2,11.68475258,Santiago
44,31-2,11.74070356,Santiago
37,31-2,11.74679476,Santiago
47,31-2,11.76358118,Santiago
36,31-2,11.77252131,Santiago
15,31-2,11.900039,Santiago
2,31-2,11.96819315,Santiago
10,31-2,11.97992517,Santiago
45,31-2,12.166155,Santiago
18,31-2,12.36434174,Santiago
32,31-2,12.40656303,Santiago
19,31-2,12.4216057,Santiago
28,31-2,12.42546387,Santiago
25,31-2,12.45845944,Santiago
42,31-2,12.5161064,Santiago
11,31-2,12.74163315,Santiago
43,31-2,12.76772183,Santiago
40,31-2,12.86373048,Santiago
33,31-2,13.22435434,Santiago
22,31-2,13.24251602,Santiago
7,31-2,13.24480611,Santiago
31,31-2,13.44235618,Santiago
39,31-2,13.48833352,Santiago
50,31-2,13.49165503,Santiago
38,31-2,13.76165791,Santiago
6,31-2,13.83204248,Santiago
21,31-2,13.96404781,Santiago
4,31-2,13.98334687,Santiago
3,31-2,14.07422811,Santiago
1,31-2,14.13897459,Santiago
9,31-2,14.35480338,Santiago
