id,animal,entropia,metodo
24,31-1,8.34,Cooke
27,31-1,8.47,Cooke
30,31-1,8.91,Cooke
26,31-1,9.25,Cooke
10,31-1,9.45,Cooke
16,31-1,9.6,Cooke
41,31-1,9.63,Cooke
45,31-1,9.78,Cooke
17,31-1,9.82,Cooke
23,31-1,9.83,Cooke
48,31-1,9.97,Cooke
34,31-1,10.12,Cooke
42,31-1,10.28,Cooke
5,31-1,10.42,Cooke
33,31-1,10.8,Cooke
8,31-1,10.94,Cooke
20,31-1,10.95,Cooke
28,31-1,11.02,Cooke
35,31-1,11.23,Cooke
7,31-1,11.77,Cooke
15,31-1,11.78,Cooke
22,31-1,11.78,Cooke
31,31-1,11.87,Cooke
43,31-1,11.97,Cooke
14,31-1,12.06,Cooke
47,31-1,12.07,Cooke
36,31-1,12.11,Cooke
21,31-1,12.15,Cooke
18,31-1,12.22,Cooke
32,31-1,12.26,Cooke
19,31-1,12.37,Cooke
44,31-1,12.39,Cooke
25,31-1,12.47,Cooke
40,31-1,12.52,Cooke
46,31-1,12.78,Cooke
11,31-1,13.34,Cooke
12,31-1,13.63,Cooke
38,31-1,13.69,Cooke
49,31-1,13.81,Cooke
13,31-1,13.93,Cooke
6,31-1,14,Cooke
9,31-1,14.03,Cooke
39,31-1,14.08,Cooke
37,31-1,14.24,Cooke
3,31-1,14.28,Cooke
4,31-1,14.39,Cooke
1,31-1,14.59,Cooke
2,31-1,14.67,Cooke
24,31-1,9.172953977,Santiago
27,31-1,9.369265138,Santiago
30,31-1,9.369779514,Santiago
26,31-1,9.689757869,Santiago
10,31-1,9.691839923,Santiago
16,31-1,9.695403284,Santiago
41,31-1,9.788433166,Santiago
45,31-1,10.05174112,Santiago
17,31-1,10.31210939,Santiago
23,31-1,10.50869404,Santiago
48,31-1,10.7434434,Santiago
34,31-1,10.77652393,Santiago
42,31-1,10.99525495,Santiago
5,31-1,11.05547432,Santiago
33,31-1,11.4268399,Santiago
8,31-1,11.47140595,Santiago
20,31-1,11.49864519,Santiago
28,31-1,11.50412387,Santiago
35,31-1,11.55714281,Santiago
7,31-1,11.55718546,Santiago
15,31-1,11.56518635,Santiago
22,31-1,11.60857814,Santiago
31,31-1,11.76587969,Santiago
43,31-1,11.8135922,Santiago
14,31-1,11.87713508,Santiago
47,31-1,11.89030029,Santiago
36,31-1,11.90346452,Santiago
21,31-1,11.96985408,Santiago
18,31-1,12.05884539,Santiago
32,31-1,12.06011712,Santiago
19,31-1,12.13995394,Santiago
44,31-1,12.14580887,Santiago
25,31-1,12.24933554,Santiago
40,31-1,12.38495291,Santiago
46,31-1,12.58724831,Santiago
11,31-1,12.64284655,Santiago
12,31-1,13.05352782,Santiago
38,31-1,13.13529135,Santiago
49,31-1,13.18344756,Santiago
13,31-1,13.26312216,Santiago
6,31-1,13.42341305,Santiago
9,31-1,13.44631953,Santiago
39,31-1,13.7502645,Santiago
37,31-1,13.77829314,Santiago
3,31-1,13.8484385,Santiago
4,31-1,14.12251494,Santiago
1,31-1,14.18877488,Santiago
2,31-1,14.5386732,Santiago
